Area_code_L3,SpecName
QLD,Caryota_albertii
SUL,Caryota_angustifolia
PHI,Caryota_cumingii
THA,Caryota_kiriwongensis
ASS,Caryota_maxima
BAN,Caryota_maxima
CHC,Caryota_maxima
CHH,Caryota_maxima
CHS,Caryota_maxima
EHM,Caryota_maxima
JAW,Caryota_maxima
LAO,Caryota_maxima
MLY,Caryota_maxima
MYA,Caryota_maxima
PHI,Caryota_maxima
SUM,Caryota_maxima
THA,Caryota_maxima
VIE,Caryota_maxima
AND,Caryota_mitis
BAN,Caryota_mitis
BOR,Caryota_mitis
CBD,Caryota_mitis
CHH,Caryota_mitis
CHS,Caryota_mitis
JAW,Caryota_mitis
LAO,Caryota_mitis
MLY,Caryota_mitis
MYA,Caryota_mitis
NCB,Caryota_mitis
PHI,Caryota_mitis
SUL,Caryota_mitis
SUM,Caryota_mitis
THA,Caryota_mitis
VIE,Caryota_mitis
CHC,Caryota_monostachya
CHS,Caryota_monostachya
VIE,Caryota_monostachya
BOR,Caryota_no
ASS,Caryota_obtusa
CHC,Caryota_obtusa
EHM,Caryota_obtusa
LAO,Caryota_obtusa
MYA,Caryota_obtusa
THA,Caryota_obtusa
VAN,Caryota_ophiopellis
BIS,Caryota_rumphiana
MOL,Caryota_rumphiana
NWG,Caryota_rumphiana
PHI,Caryota_rumphiana
SOL,Caryota_rumphiana
SUL,Caryota_rumphiana
CBD,Caryota_sympetala
LAO,Caryota_sympetala
VIE,Caryota_sympetala
IND,Caryota_urens
SRL,Caryota_urens
NWG,Caryota_zebrina
